CatalogId,NoradId,Name
858,858,SYNCOM 3
1317,1317,INTELSAT 1-F1
2207,2207,OPS 9381 (GGTS)
2215,2215,OPS 9311 (IDSCS 1)
2216,2216,OPS 9312 (IDSCS 2)
2217,2217,OPS 9313 (IDSCS 3)
2218,2218,OPS 9314 (IDSCS 4)
2219,2219,OPS 9315 (IDSCS 5)
2220,2220,OPS 9316 (IDSCS 6)
2221,2221,OPS 9317 (IDSCS 7)
2222,2222,TITAN 3C TRANSTAGE R/B
2608,2608,ATS 1
2639,2639,INTELSAT 2-F2
2645,2645,OPS 9321 (IDSCS 8)
2649,2649,OPS 9322 (IDSCS 9)
2650,2650,OPS 9323 (IDSCS 10)
2651,2651,OPS 9324 (IDSCS 11)
2652,2652,OPS 9325 (IDSCS 12)
2653,2653,OPS 9326 (IDSCS 13)
2654,2654,OPS 9327 (IDSCS 14)
2655,2655,OPS 9328 (IDSCS 15)
2717,2717,INTELSAT 2-F3
2862,2862,OPS 9331 (IDSCS 16)
2863,2863,OPS 9332 (IDSCS 17)
2864,2864,OPS 9333 (IDSCS 18)
2865,2865,OPS 9334 (IDSCS 19)
2866,2866,LES 5
2867,2867,DODGE 1
2868,2868,TITAN 3C TRANSTAGE R/B
2969,2969,INTELSAT 2-F4
3029,3029,ATS 3
3284,3284,OPS 9341 (IDSCS 20)
3285,3285,OPS 9342 (IDSCS 21)
3286,3286,OPS 9343 (IDSCS 22)
3287,3287,OPS 9344 (IDSCS 23)
3288,3288,OPS 9345 (IDSCS 24)
3289,3289,OPS 9346 (IDSCS 25)
3290,3290,OPS 9347 (IDSCS 26)
3291,3291,OPS 9348 (IDSCS 27)
3292,3292,TITAN 3C TRANSTAGE R/B
3428,3428,OV2-5
3431,3431,LES 6
3432,3432,TITAN 3C TRANSTAGE R/B
3623,3623,INTELSAT 3-F2
3691,3691,OPS 0757 (TACSAT)
3692,3692,TITAN 3C TRANSTAGE R/B
3947,3947,INTELSAT 3-F4
4068,4068,ATS 5
4250,4250,SKYNET 1
4297,4297,INTELSAT 3-F6
4353,4353,NATO 2A
4376,4376,INTELSAT 3-F7
4511,4511,ATLAS AGENA D R/B
4881,4881,INTELSAT 4-F2
4902,4902,NATO 2B
5204,5204,OPS 3811
5587,5587,OPS 9431 (DSCS 2-1)
5588,5588,OPS 9432 (DSCS 2-2)
5589,5589,TITAN 3C TRANSTAGE R/B
5709,5709,INTELSAT 4-F3
5775,5775,INTELSAT 4-F4
5851,5851,OPS 1570
5854,5854,TITAN 3C TRANSTAGE R/B
6052,6052,INTELSAT 4-F5
6278,6278,ANIK A1 (TELESAT 1)
6380,6380,OPS 6063
6437,6437,ANIK A2 (TELESAT 2)
6691,6691,OPS 6157
6796,6796,INTELSAT 4-F7
6973,6973,OPS 9433 (DSCS 2-3)
6974,6974,OPS 9434 (DSCS 2-4)
7229,7229,COSMOS 637
7250,7250,WESTAR 1
7318,7318,ATS 6
7324,7324,TITAN 3C TRANSTAGE R/B
7392,7392,MOLNIYA 1-S
7466,7466,WESTAR 2
7544,7544,INTELSAT 4-F8
7547,7547,SKYNET 2B
7578,7578,SYMPHONIE 1
7648,7648,SMS 2
7790,7790,ANIK A3 (TELESAT-3)
7815,7815,INTELSAT 4-F1
8132,8132,SYMPHONIE 2
8330,8330,INTELSAT 4A-F1
8357,8357,COSMOS 775
8366,8366,GOES 1 (SMS-C)
8476,8476,SATCOM 1
8482,8482,OPS 3165
8513,8513,RADUGA 1
8516,8516,TITAN 3C TRANSTAGE R/B
8585,8585,CTS
8620,8620,INTELSAT 4A-F2
8697,8697,MARISAT 1
8774,8774,SATCOM 2
8808,8808,NATO 3A
8838,8838,COMSTAR 1
8882,8882,MARISAT 3
8916,8916,OPS 2112
8918,8918,TITAN 3C TRANSTAGE R/B
9009,9009,PALAPA 1
9047,9047,COMSTAR 2
9416,9416,RADUGA 2
9478,9478,MARISAT 2
9503,9503,EKRAN 1
9785,9785,NATO 3B
9803,9803,OPS 3151
9852,9852,KIKU 2 (ETS 2)
9855,9855,TITAN 3C TRANSTAGE R/B
9862,9862,PALAPA 2
10000,10000,OPS 9437 (DSCS 2-7)
10001,10001,OPS 9438 (DSCS 2-8)
10024,10024,INTELSAT 4A-F4
10061,10061,GOES 2
10143,10143,HIMAWARI 1 (GMS 1)
10159,10159,RADUGA 3
10294,10294,SIRIO
10365,10365,EKRAN 2
10489,10489,METEOSAT 1
10516,10516,SAKURA 1A (CS-1A)
10557,10557,INTELSAT 4A-F3
10669,10669,OPS 6391 (FLTSATCOM 1)
10778,10778,INTELSAT 4A-F6
10792,10792,YURI (BSE)
10855,10855,OTS 2
10953,10953,GOES 3
10975,10975,COMSTAR 3
10981,10981,GEOS 2
10987,10987,RADUGA 4
11115,11115,NATO 3C
11144,11144,OPS 9441 (DSCS 2-11)
11145,11145,OPS 9442 (DSCS 2-12)
11147,11147,TITAN 3C TRANSTAGE R/B
11153,11153,ANIK B1 (TELESAT-4)
11273,11273,EKRAN 3
11343,11343,RADUGA 5
11353,11353,OPS 6392 (FLTSATCOM 2)
11397,11397,OPS 7484
11436,11436,TITAN 3C TRANSTAGE R/B
11440,11440,GORIZONT 2
11484,11484,WESTAR 3
11561,11561,EKRAN 4
11567,11567,SL-12 R/B(2)
11568,11568,SL-12 R/B(2)
11569,11569,SL-12 R/B(2)
11570,11570,SL-12 R/B(2)
11571,11571,SL-12 R/B(2)
11581,11581,EKRAN 2 DEB
11621,11621,OPS 9443 (DSCS 2-13)
11622,11622,OPS 9444 (DSCS 2-14)
11623,11623,TITAN 3C TRANSTAGE R/B
11648,11648,GORIZONT 3
11669,11669,OPS 6393 (FLTSATCOM 3)
11676,11676,SL-12 R/B(2)
11684,11684,SL-12 R/B(2)
11708,11708,RADUGA 6
11728,11728,SL-12 R/B(2)
11841,11841,GORIZONT 4
11862,11862,SL-12 R/B(2)
11940,11940,TITAN 3C TRANSTAGE R/B
11941,11941,SL-12 R/B(2)
11964,11964,GOES 4
12003,12003,RADUGA 7
12046,12046,OPS 6394 (FLTSATCOM 4)
12065,12065,SBS 1
12089,12089,INTELSAT 502
12120,12120,EKRAN 6
12309,12309,ESIAFI 1 (COMSTAR 4)
12339,12339,OPS 7350
12351,12351,RADUGA 8
12371,12371,TITAN 3C TRANSTAGE R/B
12447,12447,SL-12 R/B(2)
12471,12471,SL-12 R/B(2)
12472,12472,GOES 5
12474,12474,INTELSAT 501
12544,12544,METEOSAT 2
12545,12545,APPLE
12564,12564,EKRAN 7
