CatalogId,NoradId,Name
11608,11608,SL-3 R/B
11631,11631,OPS 4682 DEB
11667,11667,COSMOS 1150
11668,11668,SL-8 R/B
11672,11672,SL-14 R/B
11680,11680,COSMOS 1153
11681,11681,SL-8 R/B
11735,11735,COSMOS 1168
11736,11736,SL-8 R/B
11803,11803,COSMOS 1181
11804,11804,SL-8 R/B
11822,11822,SL-3 R/B
11962,11962,METEOR 2-6
11963,11963,SL-3 R/B
12087,12087,COSMOS 1225
12088,12088,SL-8 R/B
12091,12091,COSMOS 1226
12092,12092,SL-8 R/B
12102,12102,OPS 4682 DEB
12297,12297,COSMOS 1244
12298,12298,SL-8 R/B
12404,12404,SL-8 DEB
12456,12456,METEOR 2-7
12457,12457,SL-3 R/B
12465,12465,SL-3 R/B
12504,12504,COSMOS 1275
12508,12508,SL-8 R/B
12645,12645,INTERCOSMOS 22
12646,12646,SL-3 R/B
12648,12648,COSMOS 1275 DEB
12649,12649,COSMOS 1275 DEB
12650,12650,COSMOS 1275 DEB
12652,12652,COSMOS 1275 DEB
12653,12653,COSMOS 1275 DEB
12654,12654,COSMOS 1275 DEB
12655,12655,COSMOS 1275 DEB
12656,12656,COSMOS 1275 DEB
12658,12658,COSMOS 1275 DEB
12659,12659,COSMOS 1275 DEB
12660,12660,COSMOS 1275 DEB
12661,12661,COSMOS 1275 DEB
12662,12662,COSMOS 1275 DEB
12663,12663,COSMOS 1275 DEB
12664,12664,COSMOS 1275 DEB
12665,12665,COSMOS 1275 DEB
12666,12666,COSMOS 1275 DEB
12667,12667,COSMOS 1275 DEB
12668,12668,COSMOS 1275 DEB
12669,12669,COSMOS 1275 DEB
12670,12670,COSMOS 1275 DEB
12671,12671,COSMOS 1275 DEB
12672,12672,COSMOS 1275 DEB
12673,12673,COSMOS 1275 DEB
12674,12674,COSMOS 1275 DEB
12675,12675,COSMOS 1275 DEB
12676,12676,COSMOS 1275 DEB
12681,12681,COSMOS 1295
12682,12682,SL-8 R/B
12690,12690,COSMOS 1275 DEB
12692,12692,COSMOS 1275 DEB
12693,12693,COSMOS 1275 DEB
12694,12694,COSMOS 1275 DEB
12695,12695,COSMOS 1275 DEB
12696,12696,COSMOS 1275 DEB
12697,12697,COSMOS 1275 DEB
12698,12698,COSMOS 1275 DEB
12699,12699,COSMOS 1275 DEB
12700,12700,COSMOS 1275 DEB
12701,12701,COSMOS 1275 DEB
12703,12703,COSMOS 1275 DEB
12704,12704,COSMOS 1275 DEB
12705,12705,COSMOS 1275 DEB
12706,12706,COSMOS 1275 DEB
12707,12707,COSMOS 1275 DEB
12708,12708,COSMOS 1275 DEB
12709,12709,COSMOS 1275 DEB
12711,12711,COSMOS 1275 DEB
12712,12712,COSMOS 1275 DEB
12713,12713,COSMOS 1275 DEB
12714,12714,COSMOS 1275 DEB
12715,12715,COSMOS 1275 DEB
12719,12719,COSMOS 1275 DEB
12720,12720,COSMOS 1275 DEB
12722,12722,COSMOS 1275 DEB
12723,12723,COSMOS 1275 DEB
12724,12724,COSMOS 1275 DEB
12725,12725,COSMOS 1275 DEB
12726,12726,COSMOS 1275 DEB
12727,12727,COSMOS 1275 DEB
12728,12728,COSMOS 1275 DEB
12730,12730,COSMOS 1275 DEB
12731,12731,COSMOS 1275 DEB
12732,12732,COSMOS 1275 DEB
12733,12733,COSMOS 1275 DEB
12735,12735,COSMOS 1275 DEB
12736,12736,COSMOS 1275 DEB
12737,12737,COSMOS 1275 DEB
12739,12739,COSMOS 1275 DEB
12740,12740,COSMOS 1275 DEB
12741,12741,COSMOS 1275 DEB
12742,12742,COSMOS 1275 DEB
12743,12743,COSMOS 1275 DEB
12744,12744,COSMOS 1275 DEB
12745,12745,COSMOS 1275 DEB
12746,12746,COSMOS 1275 DEB
12747,12747,COSMOS 1275 DEB
12748,12748,COSMOS 1275 DEB
12749,12749,COSMOS 1275 DEB
12751,12751,COSMOS 1275 DEB
12752,12752,COSMOS 1275 DEB
12753,12753,COSMOS 1275 DEB
12755,12755,COSMOS 1275 DEB
12756,12756,COSMOS 1275 DEB
12757,12757,COSMOS 1275 DEB
12758,12758,COSMOS 1275 DEB
12759,12759,COSMOS 1275 DEB
12766,12766,COSMOS 1275 DEB
12767,12767,COSMOS 1275 DEB
12768,12768,COSMOS 1275 DEB
12769,12769,COSMOS 1275 DEB
12771,12771,COSMOS 1275 DEB
12772,12772,COSMOS 1275 DEB
12775,12775,COSMOS 1275 DEB
12779,12779,COSMOS 1275 DEB
12780,12780,COSMOS 1275 DEB
12781,12781,COSMOS 1275 DEB
12782,12782,COSMOS 1275 DEB
12785,12785,COSMOS 1300
12786,12786,SL-14 R/B
12803,12803,COSMOS 1304
12804,12804,SL-8 R/B
12835,12835,COSMOS 1308
12836,12836,SL-8 R/B
12904,12904,SL-3 R/B
12949,12949,COSMOS 1275 DEB
12950,12950,COSMOS 1275 DEB
12952,12952,COSMOS 1275 DEB
12962,12962,COSMOS 1275 DEB
12963,12963,COSMOS 1275 DEB
12964,12964,COSMOS 1275 DEB
12966,12966,COSMOS 1275 DEB
12988,12988,SL-14 R/B
12998,12998,RADIO 8
12999,12999,RADIO 5
13017,13017,COSMOS 1275 DEB
13018,13018,COSMOS 1275 DEB
13019,13019,COSMOS 1275 DEB
13020,13020,COSMOS 1275 DEB
13021,13021,COSMOS 1275 DEB
13022,13022,COSMOS 1275 DEB
13024,13024,COSMOS 1275 DEB
13026,13026,COSMOS 1275 DEB
13033,13033,COSMOS 1333
13034,13034,SL-8 R/B
13053,13053,COSMOS 1275 DEB
13065,13065,COSMOS 1339
13066,13066,SL-8 R/B
13067,13067,COSMOS 1340
13073,13073,COSMOS 1275 DEB
13074,13074,COSMOS 1275 DEB
13110,13110,COSMOS 1344
13111,13111,SL-8 R/B
13113,13113,METEOR 2-8
13114,13114,SL-14 R/B
13121,13121,SL-3 R/B
13127,13127,COSMOS 1349
13128,13128,SL-8 R/B
13131,13131,OPS 4682 DEB
13153,13153,COSMOS 1356
13154,13154,SL-3 R/B
13271,13271,COSMOS 1378
13272,13272,SL-14 R/B
13301,13301,COSMOS 1383
13302,13302,SL-8 R/B
13353,13353,COSMOS 1386
13354,13354,SL-8 R/B
13455,13455,COSMOS 1275 DEB
13456,13456,COSMOS 1275 DEB
13458,13458,COSMOS 1275 DEB
13460,13460,COSMOS 1275 DEB
13464,13464,COSMOS 1275 DEB
13466,13466,COSMOS 1275 DEB
13467,13467,COSMOS 1275 DEB
13468,13468,COSMOS 1275 DEB
13471,13471,COSMOS 1275 DEB
13472,13472,COSMOS 1275 DEB
13473,13473,COSMOS 1275 DEB
13474,13474,SL-8 DEB
13476,13476,COSMOS 1275 DEB
13477,13477,COSMOS 1275 DEB
13478,13478,COSMOS 1275 DEB
13479,13479,COSMOS 1275 DEB
13480,13480,COSMOS 1275 DEB
13481,13481,COSMOS 1275 DEB
13482,13482,COSMOS 1275 DEB
13483,13483,COSMOS 1275 DEB
13484,13484,COSMOS 1275 DEB
13485,13485,COSMOS 1275 DEB
13486,13486,COSMOS 1275 DEB
13487,13487,COSMOS 1275 DEB
13490,13490,COSMOS 1275 DEB
13491,13491,COSMOS 926 DEB
13553,13553,SL-14 R/B
13617,13617,COSMOS 1417
13618,13618,SL-8 R/B
13619,13619,COSMOS 1275 DEB
13718,13718,METEOR 2-9
13719,13719,SL-3 R/B
13720,13720,SL-3 DEB
13757,13757,COSMOS 1428
13758,13758,SL-8 R/B
13771,13771,SL-3 R/B
13796,13796,COSMOS 1275 DEB
13797,13797,COSMOS 1275 DEB
13798,13798,COSMOS 1275 DEB
13799,13799,COSMOS 1275 DEB
13800,13800,COSMOS 1275 DEB
13801,13801,COSMOS 1275 DEB
13802,13802,COSMOS 1275 DEB
13803,13803,COSMOS 1275 DEB
13804,13804,COSMOS 1275 DEB
13807,13807,COSMOS 1275 DEB
13808,13808,COSMOS 1275 DEB
13809,13809,COSMOS 1275 DEB
13810,13810,COSMOS 1275 DEB
13811,13811,COSMOS 1275 DEB
13812,13812,COSMOS 1275 DEB
13813,13813,COSMOS 1275 DEB
13814,13814,COSMOS 1275 DEB
13815,13815,COSMOS 1275 DEB
13816,13816,COSMOS 1275 DEB
13817,13817,COSMOS 1275 DEB
13819,13819,SL-3 R/B
13916,13916,COSMOS 1447
13917,13917,SL-8 R/B
13949,13949,COSMOS 1448
13950,13950,SL-8 R/B
14033,14033,SL-14 R/B
14047,14047,OPS 4682 DEB
14048,14048,OPS 4682 DEB
14049,14049,OPS 4682 DEB
14057,14057,COSMOS 1459
14059,14059,SL-8 R/B
14084,14084,COSMOS 1464
14085,14085,SL-8 R/B
14147,14147,COSMOS 1470
14148,14148,SL-14 R/B
14154,14154,HILAT
14155,14155,SCOUT G-1 R/B
14222,14222,SCOUT G-1 DEB
14223,14223,SCOUT G-1 DEB
14228,14228,COSMOS 1275 DEB
14357,14357,COSMOS 1275 DEB
14364,14364,COSMOS 1275 DEB
14372,14372,COSMOS 1500
14373,14373,SL-14 R/B
14405,14405,COSMOS 1275 DEB
14406,14406,COSMOS 1275 DEB
14407,14407,COSMOS 1275 DEB
14408,14408,COSMOS 1275 DEB
14409,14409,COSMOS 1275 DEB
14440,14440,COSMOS 1275 DEB
14441,14441,COSMOS 1275 DEB
14450,14450,COSMOS 1506
14451,14451,SL-8 R/B
14452,14452,METEOR 2-10
14453,14453,SL-3 R/B
14454,14454,SL-3 DEB
14504,14504,COSMOS 1275 DEB
14515,14515,OPS 4682 DEB
14546,14546,COSMOS 1513
14547,14547,SL-8 R/B
14552,14552,SL-14 R/B
14556,14556,COSMOS 1275 DEB
14557,14557,COSMOS 1275 DEB
14558,14558,COSMOS 1275 DEB
14568,14568,SL-8 DEB
14624,14624,COSMOS 1531
14625,14625,SL-8 R/B
14627,14627,COSMOS 1275 DEB
14632,14632,SL-3 DEB
14679,14679,COSMOS 1535
14680,14680,SL-8 R/B
14699,14699,COSMOS 1536
14700,14700,SL-14 R/B
14715,14715,OPS 4682 DEB
14716,14716,OPS 4682 DEB
14717,14717,OPS 4682 DEB
14739,14739,COSMOS 1275 DEB
14740,14740,COSMOS 1275 DEB
14741,14741,COSMOS 1275 DEB
14819,14819,COSMOS 1544
14820,14820,SL-14 R/B
14925,14925,COSMOS 1275 DEB
14950,14950,SL-3 DEB
14965,14965,COSMOS 1550
14966,14966,SL-8 R/B
14973,14973,COSMOS 1553
14974,14974,SL-8 R/B
15055,15055,COSMOS 1574
15056,15056,SL-8 R/B
15077,15077,COSMOS 1577
15078,15078,SL-8 R/B
15099,15099,METEOR 2-11
15100,15100,SL-14 R/B
15292,15292,COSMOS 1598
15293,15293,SL-8 R/B
15331,15331,COSMOS 1602
15332,15332,SL-14 R/B
15340,15340,OPS 4682 DEB
15359,15359,COSMOS 1605
15360,15360,SL-8 R/B
15369,15369,COSMOS 1606
15370,15370,SL-14 R/B
15398,15398,COSMOS 1610
15399,15399,SL-8 R/B
15470,15470,COSMOS 1618
15472,15472,COSMOS 1620
15475,15475,SL-14 R/B
15494,15494,COSMOS 1626
15495,15495,SL-14 R/B
15505,15505,COSMOS 1627
15506,15506,SL-8 R/B
15516,15516,METEOR 2-12
15517,15517,SL-14 R/B
15521,15521,SL-3 DEB
15529,15529,OPS 4682 DEB
15530,15530,OPS 4682 DEB
15541,15541,COSMOS 1275 DEB
15542,15542,COSMOS 1275 DEB
15592,15592,COSMOS 1633
15593,15593,SL-14 R/B
15597,15597,COSMOS 1634
15598,15598,SL-8 R/B
15751,15751,COSMOS 1655
15752,15752,SL-8 R/B
15766,15766,COSMOS 1275 DEB
15767,15767,COSMOS 1275 DEB
15768,15768,COSMOS 1275 DEB
15769,15769,SL-3 DEB
15780,15780,COSMOS 1275 DEB
15889,15889,COSMOS 1666
15890,15890,SL-14 R/B
15944,15944,COSMOS 1674
15945,15945,SL-14 R/B
16020,16020,SCOUT G-1 DEB
16138,16138,COSMOS 1690
16140,16140,COSMOS 1692
16141,16141,COSMOS 1693
16143,16143,COSMOS 1695
16144,16144,SL-14 R/B
16191,16191,METEOR 3-1
16194,16194,SL-14 R/B
16262,16262,COSMOS 1703
16263,16263,SL-14 R/B
16266,16266,COSMOS 1691 DEB
16269,16269,COSMOS 1691 DEB
16271,16271,COSMOS 1691 DEB
16291,16291,COSMOS 1704
16292,16292,SL-8 R/B
16326,16326,COSMOS 1707
16327,16327,SL-14 R/B
16368,16368,COSMOS 1709
16369,16369,SL-8 R/B
16408,16408,METEOR 2-13
16409,16409,SL-14 R/B
16493,16493,COSMOS 1725
16494,16494,SL-8 R/B
16495,16495,COSMOS 1726
16496,16496,SL-14 R/B
16510,16510,COSMOS 1727
16511,16511,SL-8 R/B
16611,16611,COSMOS 1733
16612,16612,SL-14 R/B
16719,16719,COSMOS 1743
16727,16727,COSMOS 1745
16728,16728,SL-8 R/B
16735,16735,METEOR 2-14
16736,16736,SL-14 R/B
16791,16791,COSMOS 1758
16792,16792,SL-14 R/B
16798,16798,COSMOS 1759
16799,16799,SL-8 R/B
16881,16881,COSMOS 1766
16882,16882,SL-14 R/B
16986,16986,COSMOS 1782
16987,16987,SL-14 R/B
17025,17025,COSMOS 1275 DEB
17066,17066,COSMOS 1791
17067,17067,SL-8 R/B
17070,17070,POLAR BEAR
17071,17071,SCOUT G-1 R/B
17093,17093,OPS 4682 DEB
17159,17159,COSMOS 1802
17160,17160,SL-8 R/B
17168,17168,COSMOS 1691 DEB
17177,17177,COSMOS 1803
17178,17178,SL-14 R/B
17191,17191,COSMOS 1805
17192,17192,SL-14 R/B
17239,17239,COSMOS 1808
17240,17240,SL-8 R/B
17241,17241,COSMOS 1809
17242,17242,SL-14 R/B
17268,17268,SL-14 DEB
17269,17269,SL-14 DEB
17270,17270,SL-14 DEB
17271,17271,SL-14 DEB
17272,17272,SL-14 DEB
17273,17273,SL-14 DEB
17274,17274,SL-14 DEB
17290,17290,METEOR 2-15
17291,17291,SL-14 R/B
17295,17295,COSMOS 1812
